"小悪魔A","Imp A"
"小悪魔Aと戦闘を行いますか？","Fight Imp A"
"はい","Yes"
"いいえ","No"
"<小悪魔A>
『んふー♡人間さん、もう動けないの？
　私の勝ちだねー♡』",""
"<小悪魔A>
『私って、このダンジョンで一番弱いんだよー？
　そんな私に負けちゃって恥ずかしくないのー？』",""
"もう身体を動かせない貴方を、小悪魔はそう詰る。
からかうような声色は、嗜虐的な色を含んでいて、
それが貴方の屈辱をさらにあおる。",""
"<小悪魔A>
『くすくす♪負けちゃった人間さんはー♡
　私がぜ～んぶ魂搾り取ってあげるね♡』",""
"勝ち誇った小悪魔は貴方の悔しそうな反応に満足すると、
笑みを深くしながらそう告げる。",""
"<小悪魔A>
『人間さんに拒否権はないからねー♪
　いただきまーす♡あ～むっ♡』",""
"小悪魔は有無を言わさず貴方の肉棒を咥える。
小さな口内に入りきらない肉棒の先端を、
そしゃくするようにもぐもぐと口を動かす。",""
"本当に自分の肉棒を、
小さな少女に食べられているような光景に、
貴方の興奮は掻き立てられてしまう。",""
"<小悪魔A>
『んふー♡私のお口の中、気持ちいいでしょー♪
　お兄さんのよわよわおちんぽじゃ何回戦っても、
　勝てないつよーい私のお口だよー♡たっぷり味わってね♡』",""
"ぴちゃぴちゃと水音を立てながら、
小悪魔の小さな舌が肉棒に絡みつく。
小悪魔は裏筋を舌でつつくように愛撫しながら、
頬をすぼめて時折吸い自分の唾液を絡めて吸い出す。",""
"何度味わっても耐えきれる気がしないそのフェラに、
今からすべてを搾り取られるというのに思わず溺れてしまう。",""
"<小悪魔A>
『あむっ♡じゅるる……ちゅっ♡
　もう私のフェラに夢中になっちゃってるねー♡』",""
"<小悪魔A>
『人間さん負けちゃったんだよー？
　このまま私のお口に全部出しちゃったら、
　ゲームオーバーなんだよー？』",""
"フェラに溺れる貴方に、
小悪魔はちゅぽんと音を立てて肉棒を解放し、
そう言葉にして状況を突き付ける。",""
"最初の魔物に負けてゲームオーバーはあまりに情けない…
小悪魔の言葉にそんなプライドが呼び起こされる。",""
"<小悪魔A>
『あは♡プライドが刺激されちゃった？
　私なんかに負けないぞーって考える、
　つよーい人間さんの目になったね♡』",""
"<小悪魔A>
『でもー、そんな目、いつまでしてられるかなー？
　忘れてないよね？このよわよわおちんぽ、
　さっき私にびゅるびゅるイかされちゃったこと♡』",""
"小悪魔はそう挑発しながら、
小さな口を大きく開いて貴方に見せつける。
舌をれろれろと動かして肉棒を舐めまわす様子を想起させ、
貴方の興奮を掻き立てる。",""
